성구분,카테고리명,상품명,CategoryID,ProductID,pink_cossim,blue_cossim,파일명
boy,boy-RolePlay,미판매상품 안내페이지,C10100030001,8809547510759,Error,-0.747777100608863,C10100030001-8809547510759.png
girl,girl-Doll,몰랑 라잉 가방고리 (개구리),C10100020002,8809223827546,-0.05399214935035701,-0.7051327477789188,C10100020002-8809223827546.png
girl,girl-Doll,moomin 무민 ver.2 파파 봉제인형25cm,C10100020002,L000001422432,-0.03059272174891461,-0.07616299942111183,C10100020002-L000001422432.png
girl,girl-Doll,체리 패션스타일링 (쥬리),C10100020002,8809121094941,0.5323156142821059,-0.053717110303051666,C10100020002-8809121094941.png
girl,girl-DIY,미판매상품 안내페이지,C10100020004,8809097241219,0.4291989706208984,0.04651420749375998,C10100020004-8809097241219.png
girl,girl-Doll,포켓몬 잠자는 꼬부기 (30CM),C10100020002,8809243728410,-0.6313602516485061,-0.43592836932886764,C10100020002-8809243728410.png
boy,boy-Car/Train,토마스 에드워드 작동기차,C10100030004,4904810459125,0.2894816096941513,-0.4062280500680267,C10100030004-4904810459125.png
girl,girl-RolePlay,[플레이서클] 시장놀이계산기세트 Cash Register,C10100020001,L000001420349,0.5548144780548807,-0.49553186241702984,C10100020001-L000001420349.png
girl,girl-Doll,[d]헬로키티 단추인형-7인치,C10100020002,L000000517939,0.4821566017734531,0.040055782274508074,C10100020002-L000000517939.png
boy,boy-RolePlay,미판매상품 안내페이지,C10100030001,8809286672664,0.18635179203091226,-0.041763975527032586,C10100030001-8809286672664.png
boy,boy-Car/Train,[브루더] 벤츠 파이어 엔진,C10100030004,L000000520827,0.5407630132655804,-0.27090635455453527,C10100030004-L000000520827.png
boy,boy-Action,미판매상품 안내페이지,C10100030002,8801198160086,-0.20145837028259225,-0.5355005512371003,C10100030002-8801198160086.png
boy,boy-Car/Train,미판매상품 안내페이지,C10100030004,4904810472377,0.47828444089221656,0.1353193518716376,C10100030004-4904810472377.png
girl,girl-RolePlay,뽀로로 청소박사,C10100020001,8809061331458,0.058336419997598116,0.20225472996190116,C10100020001-8809061331458.png
boy,boy-Figure,미판매상품 안내페이지,C10100030005,0039897024929,-0.08203176631659519,-0.7233189855229127,C10100030005-0039897024929.png
girl,girl-Doll,체크테디베어 브라운(대형)-남자곰,C10100020002,L000001462779,0.4184783399550763,0.24663804412184176,C10100020002-L000001462779.png
girl,girl-Doll,레미 솔라 마리 파자마세트,C10100020002,8809482993853,-0.19258985080968505,-0.25255366762671433,C10100020002-8809482993853.png
boy,boy-Action,유선 스파이더 로봇,C10100030002,8809258928676,-0.24624988426675046,-0.39308421040082947,C10100030002-8809258928676.png
boy,boy-Figure,포포베 8cm키링(카우보이),C10100030005,8803035845002,0.2676392918098512,-0.0856003892283902,C10100030005-8803035845002.png
girl,girl-Doll,픽미팝스 더블팩 플러스,C10100020002,0630996751671,0.3694832351080538,0.48354772252692135,C10100020002-0630996751671.png
girl,girl-Deco,미판매상품 안내페이지,C10100020003,L000002813759,0.05831417391515831,0.04538025089050212,C10100020003-L000002813759.png
girl,girl-Doll,뚜앙 봉제인형-소형(25cm),C10100020002,L000001435362,-0.5472205772524013,0.5236582890495278,C10100020002-L000001435362.png
boy,boy-Control,와인드업 고슴도치,C10100030003,8809174579716,-0.24379554387909444,-0.9319933639898966,C10100030003-8809174579716.png
girl,girl-Doll,[d]토토리본베어인형 아이보리-소형(38cm),C10100020002,L000000560252,0.16319749266699227,-0.655165710084473,C10100020002-L000000560252.png
girl,girl-Deco,뿌띠슈 블링팡팡 네일 B04 트윙클블루,C10100020003,8809571130480,0.4859410975412993,-0.2870989799876864,C10100020003-8809571130480.png
girl,girl-DIY,미판매상품 안내페이지,C10100020004,8809557510121,0.6678706632835882,-0.6105181236557892,C10100020004-8809557510121.png
girl,girl-Doll,까망군 가방고리인형,C10100020002,8809442485268,-0.1046403876411744,-0.20705981985206923,C10100020002-8809442485268.png
boy,boy-Figure,미판매상품 안내페이지,C10100030005,L000002749558,0.014766074395379247,0.6478773541478863,C10100030005-L000002749558.png
girl,girl-Doll,부토 에어매쉬 목쿠션-블루,C10100020002,L000001464429,-0.5091659988082158,-0.2554228019301361,C10100020002-L000001464429.png
boy,boy-Car/Train,웰리 뷰가티 시론 (4.75),C10100030004,8809245341341,0.6487259995078182,-0.20926735674898123,C10100030004-8809245341341.png
girl,girl-Doll,[오지돌스] 오지돌스티타임세트,C10100020002,L000002760603,0.42411157158103985,-0.5297291602139433,C10100020002-L000002760603.png
boy,boy-Figure,포켓몬 Z 크리스탈 Vol.01,C10100030005,4904810864776,0.41128916622802186,-0.40674050507351117,C10100030005-4904810864776.png
girl,girl-Doll,"베이비펫 아기병아리 (스타,레인보우)",C10100020002,8804275873787,0.2915948266864133,-0.6518329822369946,C10100020002-8804275873787.png
boy,boy-Car/Train,말하는도져쇼벨,C10100030004,8801267009483,-0.24196400397768267,-0.18179520181683279,C10100030004-8801267009483.png
girl,girl-RolePlay,미판매상품 안내페이지,C10100020001,L000002672884,0.4606854547264166,0.6745872331538209,C10100020001-L000002672884.png
boy,boy-Figure,메타코레 미키스팀보트윌리,C10100030005,4904810885474,-0.23267947390934934,-0.3208881417545997,C10100030005-4904810885474.png
girl,girl-Doll,니트 테디베어 남자곰 인형-30cm(옵션선택),C10100020002,L000002543209,0.15470675006872703,-0.18459281484392243,C10100020002-L000002543209.png
boy,boy-Action,다이노코어 에볼루션2 레전더튜너,C10100030002,8809398343032,0.2606636056829671,-0.43132152166763005,C10100030002-8809398343032.png
girl,girl-Doll,바비 뉴패셔니스타,C10100020002,0887961205633,0.43764271596991056,-0.730717558308501,C10100020002-0887961205633.png
girl,girl-Doll,베렝 리틀큐티스 그네,C10100020002,0043657169645,0.20676564634603384,0.292624661957287,C10100020002-0043657169645.png
boy,boy-Action,미판매상품 안내페이지,C10100030002,8809519930196,0.5901037761886072,-0.29143866160088694,C10100030002-8809519930196.png
girl,girl-DIY,[멜리사앤더그] 강아지 실꿰기,C10100020004,L000000553528,0.2060025822007495,-0.05043229763206552,C10100020004-L000000553528.png
boy,boy-Car/Train,디즈니토미카 미키웨건 (11),C10100030004,4904810804765,0.41280280664612906,-0.43622999787904965,C10100030004-4904810804765.png
boy,boy-RolePlay,듀얼무타타레드블레이즈드래곤,C10100030001,8809519930561,0.40522959393357216,-0.21714524043659436,C10100030001-8809519930561.png
girl,girl-RolePlay,균일가 소꿉놀이 바구니,C10100020001,8809291537774,0.2694478701626215,-0.034436019280000466,C10100020001-8809291537774.png
girl,girl-Deco,니냐네일아트 시크릿박스,C10100020003,8809295817018,0.4553039962365838,-0.48602365162001193,C10100020003-8809295817018.png
boy,boy-Figure,건담HG 쁘띠가이 위닝옐로우,C10100030005,4549660005841,0.4074951882317312,-0.19175127780034004,C10100030005-4549660005841.png
boy,boy-Car/Train,[롤리토이즈] 존디어 키드 트랙터와 트레일러,C10100030004,L000000467900,-0.1909650289897436,-0.07870597923500003,C10100030004-L000000467900.png
boy,boy-Figure,미판매상품 안내페이지,C10100030005,4972825206591,-0.12994644384927653,0.10534105401099846,C10100030005-4972825206591.png
girl,girl-Doll,뚜앙 바디쿠션(70cm),C10100020002,L000001462811,-0.4504057891759179,0.4727209455854108,C10100020002-L000001462811.png
girl,girl-Doll,해치멀 글리터가든 펭귤라스,C10100020002,0778988515334,0.371967778389592,-0.12194552580731692,C10100020002-0778988515334.png
girl,girl-RolePlay,미판매상품 안내페이지,C10100020001,L000002747677,0.6281326934671433,-0.21411317637422253,C10100020001-L000002747677.png
girl,girl-Deco,[Clearance] 시크릿쥬쥬 매니큐어 오렌지,C10100020003,8809570710058,0.2900537383298665,-0.20415937106026233,C10100020003-8809570710058.png
boy,boy-Action,미판매상품 안내페이지,C10100030002,8809318320440,0.03656670312540815,-0.4246081681139265,C10100030002-8809318320440.png
girl,girl-Deco,소피루비 립글로우 03퓨어블루,C10100020003,8809318327111,0.2813104169600884,-0.0781457467241473,C10100020003-8809318327111.png
girl,girl-Doll,콩지래빗 인형 (웨딩),C10100020002,8809121094637,0.5412187236141931,-0.7421010735642396,C10100020002-8809121094637.png
girl,girl-Doll,미요니 오렌지 시팅 캣 (소),C10100020002,8809282304934,0.3967189405941653,-0.12683437918630142,C10100020002-8809282304934.png
girl,girl-DIY,미판매상품 안내페이지,C10100020004,8809375611925,0.3391762135312342,-0.43692703234829067,C10100020004-8809375611925.png
girl,girl-Doll,리틀 페어리루 버섯카페,C10100020002,8804275874777,0.3551087477577289,-0.4304870806244478,C10100020002-8804275874777.png
boy,boy-Control,벤츠 메르세데스 (1:14),C10100030003,8809215282933,0.39848135666777373,-0.6093420677304082,C10100030003-8809215282933.png
boy,boy-Action,미판매상품 안내페이지,C10100030002,8807633153538,0.059421936580274816,0.012704927865620339,C10100030002-8807633153538.png
girl,girl-Deco,페어리루 마법의 거울,C10100020003,8804275884592,0.45628022036068633,-0.35800696733508525,C10100020003-8804275884592.png
girl,girl-Doll,미판매상품 안내페이지,C10100020002,8809182321833,0.07040125708921649,0.36215321614701046,C10100020002-8809182321833.png
girl,girl-Doll,패션미미 웨딩데이,C10100020002,8804275105277,-0.2918283429455492,-0.32687211179476416,C10100020002-8804275105277.png
girl,girl-DIY,[멜리사앤더그] 알파벳 실꿰기,C10100020004,L000000553834,0.004035280330003559,-0.3477914102542058,C10100020004-L000000553834.png
girl,girl-DIY,컬러룬 홀로그램 모자이크 -가면 3종,C10100020004,L000002665625,0.39423306404517444,0.17859573682045235,C10100020004-L000002665625.png
boy,boy-RolePlay,베이블레이드초Z 랜덤부스터11,C10100030001,8801198121186,0.08347025663613554,-0.039827303123194366,C10100030001-8801198121186.png
girl,girl-Doll,소프트 몰랑썸 핑크 모찌인형 (50cm),C10100020002,8809223826143,0.9772360817117105,0.30117803436224505,C10100020002-8809223826143.png
girl,girl-Doll,해치멀 글리터가든 드라글라스,C10100020002,0778988515297,0.031043285539980325,0.28047396818286935,C10100020002-0778988515297.png
boy,boy-Figure,4D퍼즐 톰캣,C10100030005,8809258921417,0.4787228487235406,0.5879024099504763,C10100030005-8809258921417.png
boy,boy-Action,미판매상품 안내페이지,C10100030002,8807633152692,-0.0941924976021712,-0.017910575888295786,C10100030002-8807633152692.png
boy,boy-RolePlay,베이블레이드 알타크로노스6M T,C10100030001,8801198120820,0.17179560697310592,0.23856667960968758,C10100030001-8801198120820.png
boy,boy-Action,핸들 스피너,C10100030002,8809382082671,0.24630803474583288,-0.1560971959045109,C10100030002-8809382082671.png
girl,girl-Deco,미판매상품 안내페이지,C10100020003,8809250482206,0.20682363604799311,-0.1792184745797289,C10100020003-8809250482206.png
boy,boy-Car/Train,미판매상품 안내페이지,C10100030004,L000002812664,-0.06992785330037826,-0.5066689897302634,C10100030004-L000002812664.png
girl,girl-Doll,21024 세사미 손인형 조(38cm),C10100020002,L000001515810,0.672872235211206,-0.6499315252311217,C10100020002-L000001515810.png
girl,girl-Doll,몰랑 싯팅 가방고리 (호랑이),C10100020002,8809223827478,0.47070026061847414,-0.30047198976437095,C10100020002-8809223827478.png
