파일명,cossim,ProductID,CategoryID,카테고리명,성구분
C10100020002-8804275145525.png,-0.11173958500483736,8804275145525,C10100020002,girl-Doll,girl
C10100030004-L000002672175.png,-0.5575039780144774,L000002672175,C10100030004,boy-Car/Train,boy
C10100020002-8809121094682.png,-0.16454558076014186,8809121094682,C10100020002,girl-Doll,girl
C10100020004-4904790598890.png,-0.14620378592594968,4904790598890,C10100020004,girl-DIY,girl
C10100020002-L000000517913.png,-0.6979099253869343,L000000517913,C10100020002,girl-Doll,girl
C10100020004-8809182325176.png,-0.2958742296546287,8809182325176,C10100020004,girl-DIY,girl
C10100020002-5054131052044.png,-0.4364878735090104,5054131052044,C10100020002,girl-Doll,girl
C10100030002-8809318320815.png,-0.09708305287695718,8809318320815,C10100030002,boy-Action,boy
C10100030002-8809073332641.png,0.13658925105530656,8809073332641,C10100030002,boy-Action,boy
C10100020002-L000002760624.png,-0.32652952958118997,L000002760624,C10100020002,girl-Doll,girl
C10100030002-8809174678228.png,-0.2618782121335958,8809174678228,C10100030002,boy-Action,boy
C10100020003-8809174571864.png,-0.06676107452895587,8809174571864,C10100020003,girl-Deco,girl
C10100030002-0043377914211.png,-0.4260869375364576,0043377914211,C10100030002,boy-Action,boy
C10100020002-8801198082388.png,-0.7762647387871902,8801198082388,C10100020002,girl-Doll,girl
C10100020003-8805804030886.png,0.10266632098119992,8805804030886,C10100020003,girl-Deco,girl
C10100020003-L000002812694.png,-0.035667927831950615,L000002812694,C10100020003,girl-Deco,girl
C10100030003-8809194423006.png,-0.09823895191430305,8809194423006,C10100030003,boy-Control,boy
C10100030002-8809398340406.png,-0.40949318371594406,8809398340406,C10100030002,boy-Action,boy
C10100030003-L000002765378.png,-0.5018383478901708,L000002765378,C10100030003,boy-Control,boy
C10100020001-L000002652396.png,-0.6670999444909795,L000002652396,C10100020001,girl-RolePlay,girl
C10100030003-8809215282919.png,-0.09765397089806538,8809215282919,C10100030003,boy-Control,boy
C10100030005-8809174572052.png,-0.13358298171965605,8809174572052,C10100030005,boy-Figure,boy
C10100020002-8809121094699.png,-0.2940430874027908,8809121094699,C10100020002,girl-Doll,girl
C10100030004-L000002732600.png,-0.2886201023581234,L000002732600,C10100030004,boy-Car/Train,boy
C10100030002-8809073338032.png,-0.05824290354502066,8809073338032,C10100030002,boy-Action,boy
C10100020001-8809121092473.png,-0.2282972009328372,8809121092473,C10100020001,girl-RolePlay,girl
C10100020003-8809571130275.png,-0.7655100530594777,8809571130275,C10100020003,girl-Deco,girl
C10100020002-L000000549371.png,-0.2735767828247927,L000000549371,C10100020002,girl-Doll,girl
C10100030003-8809407120111.png,-0.3191688361026208,8809407120111,C10100030003,boy-Control,boy
C10100020004-L000002628682.png,-0.2453538281768919,L000002628682,C10100020004,girl-DIY,girl
C10100020002-8711915029544.png,-0.38483239056527246,8711915029544,C10100020002,girl-Doll,girl
C10100020002-L000000556454.png,-0.22039192043166556,L000000556454,C10100020002,girl-Doll,girl
C10100020002-8804275884639.png,0.03930039845347437,8804275884639,C10100020002,girl-Doll,girl
C10100030001-8804275768519.png,-0.4796544823963855,8804275768519,C10100030001,boy-RolePlay,boy
C10100020003-8809517410935.png,-0.28295477150023635,8809517410935,C10100020003,girl-Deco,girl
C10100030005-4549660075868.png,-0.2606704120749057,4549660075868,C10100030005,boy-Figure,boy
C10100020002-L000002760588.png,0.052134162802851956,L000002760588,C10100020002,girl-Doll,girl
C10100030004-8809226729502.png,-0.43787909061764463,8809226729502,C10100030004,boy-Car/Train,boy
C10100020002-L000000527118.png,-0.6972076305924654,L000000527118,C10100020002,girl-Doll,girl
C10100030002-8809416350196.png,0.5040883051644198,8809416350196,C10100030002,boy-Action,boy
C10100020002-L000001976001.png,-0.839736978548022,L000001976001,C10100020002,girl-Doll,girl
C10100030005-L000002749586.png,0.07235743861839519,L000002749586,C10100030005,boy-Figure,boy
C10100030004-4904810890850.png,-0.5304096352504373,4904810890850,C10100030004,boy-Car/Train,boy
C10100030004-0746775345723.png,-0.05312628320498407,0746775345723,C10100030004,boy-Car/Train,boy
C10100030003-0807648054002.png,0.024760124787530986,0807648054002,C10100030003,boy-Control,boy
C10100020002-L000001473864.png,-0.3459535888856874,L000001473864,C10100020002,girl-Doll,girl
C10100020001-8809170281828.png,-0.19500281060534566,8809170281828,C10100020001,girl-RolePlay,girl
C10100020002-8804275873831.png,-0.0031560623043987352,8804275873831,C10100020002,girl-Doll,girl
C10100030004-8809142883821.png,-0.13591026304470558,8809142883821,C10100030004,boy-Car/Train,boy
C10100030004-L000002672923.png,-0.10138090599478607,L000002672923,C10100030004,boy-Car/Train,boy
C10100030005-4549660165767.png,0.19498326625864562,4549660165767,C10100030005,boy-Figure,boy
C10100020001-8809526490287.png,-0.4539045309018924,8809526490287,C10100020001,girl-RolePlay,girl
C10100020002-8809282304378.png,-0.7073277706000946,8809282304378,C10100020002,girl-Doll,girl
C10100030002-8809073337998.png,-0.02612291625362505,8809073337998,C10100030002,boy-Action,boy
C10100030002-8801198160116.png,-0.05132470018642037,8801198160116,C10100030002,boy-Action,boy
C10100020002-L000002655199.png,-0.811912874430704,L000002655199,C10100020002,girl-Doll,girl
C10100030002-0008983106160.png,-0.3344543279599266,0008983106160,C10100030002,boy-Action,boy
C10100020004-L000002628988.png,0.09839504597980522,L000002628988,C10100020004,girl-DIY,girl
C10100020002-L000002814083.png,-0.286323228780365,L000002814083,C10100020002,girl-Doll,girl
C10100020002-L000002636623.png,-0.8756052459541862,L000002636623,C10100020002,girl-Doll,girl
C10100030005-8809258921127.png,-0.20213421245538168,8809258921127,C10100030005,boy-Figure,boy
C10100030002-8809495821006.png,0.12178776766321647,8809495821006,C10100030002,boy-Action,boy
C10100030005-8809394874783.png,-0.04261649795839016,8809394874783,C10100030005,boy-Figure,boy
C10100030003-8807099007666.png,-0.2659615250000143,8807099007666,C10100030003,boy-Control,boy
C10100020003-8809002229530.png,-0.6189860959136982,8809002229530,C10100020003,girl-Deco,girl
C10100020003-8804275884738.png,0.22911273201910026,8804275884738,C10100020003,girl-Deco,girl
C10100030002-8809416350189.png,-0.2065423593018286,8809416350189,C10100030002,boy-Action,boy
C10100020001-L000000537725.png,-0.431592985737602,L000000537725,C10100020001,girl-RolePlay,girl
C10100030004-4904810472407.png,-0.4578563989510085,4904810472407,C10100030004,boy-Car/Train,boy
C10100020002-8809382082879.png,-0.45780019706025527,8809382082879,C10100020002,girl-Doll,girl
C10100020002-L000002686853.png,-0.23460776426496796,L000002686853,C10100020002,girl-Doll,girl
C10100020004-4905040780799.png,-0.15638069216703654,4905040780799,C10100020004,girl-DIY,girl
C10100020002-0630509422661.png,0.5226195785895179,0630509422661,C10100020002,girl-Doll,girl
C10100020004-8809416256870.png,-0.26982328363873187,8809416256870,C10100020004,girl-DIY,girl
C10100020001-8809250487041.png,-0.24308428674235832,8809250487041,C10100020001,girl-RolePlay,girl
C10100020002-8809243728397.png,0.10529281438006055,8809243728397,C10100020002,girl-Doll,girl
C10100020002-8804275261553.png,-0.46310655156645575,8804275261553,C10100020002,girl-Doll,girl
C10100020001-8809482991262.png,-0.11700496453599982,8809482991262,C10100020001,girl-RolePlay,girl
C10100030004-L000002765385.png,-0.05058016820993005,L000002765385,C10100030004,boy-Car/Train,boy
C10100020001-8809291537750.png,-0.7610839856385968,8809291537750,C10100020001,girl-RolePlay,girl
C10100020004-8809445243094.png,-0.5271753023145616,8809445243094,C10100020004,girl-DIY,girl
C10100030002-4904810897408.png,-0.039669145841426265,4904810897408,C10100030002,boy-Action,boy
C10100030003-8809149287110.png,0.5182606236243871,8809149287110,C10100030003,boy-Control,boy
C10100020002-L000000517883.png,-0.34154903734731706,L000000517883,C10100020002,girl-Doll,girl
C10100030001-8809519930585.png,-0.5290901938693029,8809519930585,C10100030001,boy-RolePlay,boy
C10100030004-4904810347224.png,0.08935063112016534,4904810347224,C10100030004,boy-Car/Train,boy
C10100020002-L000002760555.png,-0.6677193666314458,L000002760555,C10100020002,girl-Doll,girl
C10100020002-L000001530052.png,-0.09479403398980393,L000001530052,C10100020002,girl-Doll,girl
C10100020002-0887961378757.png,-0.26006177409312886,0887961378757,C10100020002,girl-Doll,girl
C10100030001-8809121093807.png,-0.24625892580880435,8809121093807,C10100030001,boy-RolePlay,boy
C10100030002-0630509620111.png,-0.03761824395466419,0630509620111,C10100030002,boy-Action,boy
C10100030003-8807099011571.png,0.4214107456711213,8807099011571,C10100030003,boy-Control,boy
C10100020002-0064442204389.png,-0.05242627782169244,0064442204389,C10100020002,girl-Doll,girl
C10100020002-L000001473821.png,-0.6485073462947297,L000001473821,C10100020002,girl-Doll,girl
C10100020002-8804275185576.png,-0.009123029185116207,8804275185576,C10100020002,girl-Doll,girl
C10100020002-L000000561444.png,-0.6386290073436672,L000000561444,C10100020002,girl-Doll,girl
C10100030004-4904810438908.png,0.12729247995917525,4904810438908,C10100030004,boy-Car/Train,boy
C10100020004-L000000528077.png,-0.14367145852598528,L000000528077,C10100020004,girl-DIY,girl
C10100030002-8804275768519.png,-0.4796544823963855,8804275768519,C10100030002,boy-Action,boy
C10100020004-8804275127064.png,-0.6381840310105079,8804275127064,C10100020004,girl-DIY,girl
C10100030005-4904810824534.png,-0.08957015119268118,4904810824534,C10100030005,boy-Figure,boy
C10100020002-8809121094736.png,-0.28234446786634676,8809121094736,C10100020002,girl-Doll,girl
C10100020004-L000000553776.png,-0.23966754308676225,L000000553776,C10100020004,girl-DIY,girl
C10100030003-4891813831877.png,0.1935192734010649,4891813831877,C10100030003,boy-Control,boy
C10100020002-8809436037503.png,-0.334486210165693,8809436037503,C10100020002,girl-Doll,girl
C10100030004-L000002672898.png,-0.047039298093408885,L000002672898,C10100030004,boy-Car/Train,boy
C10100020002-4905040288608.png,-0.5306304933199005,4905040288608,C10100020002,girl-Doll,girl
C10100030005-8809010330242.png,-0.3846486390022774,8809010330242,C10100030005,boy-Figure,boy
C10100030001-8801198120578.png,0.06165948583854522,8801198120578,C10100030001,boy-RolePlay,boy
C10100020001-L000002652397.png,-0.8909383563958844,L000002652397,C10100020001,girl-RolePlay,girl
C10100030002-8809318320501.png,-0.4188222663550301,8809318320501,C10100030002,boy-Action,boy
C10100020002-8809482990821.png,-0.08671930998144328,8809482990821,C10100020002,girl-Doll,girl
C10100020004-4905040790996.png,0.3094665433144035,4905040790996,C10100020004,girl-DIY,girl
C10100020002-L000002563881.png,-0.7569606873663309,L000002563881,C10100020002,girl-Doll,girl
C10100020002-L000001473858.png,-0.7245676508269647,L000001473858,C10100020002,girl-Doll,girl
C10100020004-8809073337615.png,-0.381929708348982,8809073337615,C10100020004,girl-DIY,girl
C10100020002-L000000543631.png,-0.7751484937808756,L000000543631,C10100020002,girl-Doll,girl
C10100030004-8809375612601.png,0.1922180084638326,8809375612601,C10100030004,boy-Car/Train,boy
C10100030005-L000002749559.png,-0.3817215762044494,L000002749559,C10100030005,boy-Figure,boy
C10100030001-8809170281040.png,0.15037599009250144,8809170281040,C10100030001,boy-RolePlay,boy
C10100020002-L000001480031.png,-0.6438709421230904,L000001480031,C10100020002,girl-Doll,girl
C10100020002-L000000518869.png,-0.7634067982748104,L000000518869,C10100020002,girl-Doll,girl
C10100020002-8804275165615.png,-0.15640053398273648,8804275165615,C10100020002,girl-Doll,girl
C10100020002-5054131050507.png,-0.49480308728394623,5054131050507,C10100020002,girl-Doll,girl
C10100030004-8809341930074.png,-0.5422663722654534,8809341930074,C10100030004,boy-Car/Train,boy
C10100020002-L000001476683.png,-0.7795224506274776,L000001476683,C10100020002,girl-Doll,girl
C10100020002-L000002703651.png,-0.20471000171540354,L000002703651,C10100020002,girl-Doll,girl
C10100030001-8801198120790.png,-0.3574951585912961,8801198120790,C10100030001,boy-RolePlay,boy
C10100020001-L000000537752.png,-0.5021213416942084,L000000537752,C10100020001,girl-RolePlay,girl
C10100020002-L000000551722.png,-0.3473651657736978,L000000551722,C10100020002,girl-Doll,girl
C10100030002-8809547510421.png,0.3040662872013976,8809547510421,C10100030002,boy-Action,boy
C10100020003-8809571130343.png,-0.1842202472619794,8809571130343,C10100020003,girl-Deco,girl
C10100020002-L000000555224.png,-0.32436782656884416,L000000555224,C10100020002,girl-Doll,girl
C10100030002-8801198041057.png,-0.6812401656794453,8801198041057,C10100030002,boy-Action,boy
C10100030002-8805804030572.png,0.19768097142419835,8805804030572,C10100030002,boy-Action,boy
C10100020002-L000002760583.png,0.1512525022714982,L000002760583,C10100020002,girl-Doll,girl
C10100030005-8809375612724.png,-0.4025007026028179,8809375612724,C10100030005,boy-Figure,boy
C10100030005-0065541380158.png,-0.4362083660953972,0065541380158,C10100030005,boy-Figure,boy
C10100020002-0630996751503.png,-0.2341348123168612,0630996751503,C10100020002,girl-Doll,girl
C10100030002-8809174678372.png,-0.7194365690796545,8809174678372,C10100030002,boy-Action,boy
C10100020002-L000002774700.png,-0.42318644634167507,L000002774700,C10100020002,girl-Doll,girl
C10100030004-8809174211869.png,-0.26336776690986874,8809174211869,C10100030004,boy-Car/Train,boy
C10100020002-0887961372861.png,0.08128543146618623,0887961372861,C10100020002,girl-Doll,girl
C10100030005-8809258925057.png,0.10216605037661529,8809258925057,C10100030005,boy-Figure,boy
C10100020004-L000000537931.png,-0.23249918490761629,L000000537931,C10100020004,girl-DIY,girl
C10100020003-8807633152067.png,-0.03529958350368304,8807633152067,C10100020003,girl-Deco,girl
C10100020002-L000001462764.png,-0.8932370550794857,L000001462764,C10100020002,girl-Doll,girl
C10100020002-L000000734047.png,0.3295607078752461,L000000734047,C10100020002,girl-Doll,girl
C10100020001-L000002774221.png,-0.32795884102491385,L000002774221,C10100020001,girl-RolePlay,girl
